| i: 14000 | Train Accuracy: 0.4697999954223633 | Train Loss: 1.427242636680603 | Test Accuracy: 0.24300000071525574 | Test Loss: 2.5784144401550293 |
| i: 14100 | Train Accuracy: 0.46799999475479126 | Train Loss: 1.4259397983551025 | Test Accuracy: 0.24400000274181366 | Test Loss: 2.5943150520324707 |
| i: 14200 | Train Accuracy: 0.4546000063419342 | Train Loss: 1.438235878944397 | Test Accuracy: 0.2476000040769577 | Test Loss: 2.5932352542877197 |
| i: 14300 | Train Accuracy: 0.4625999927520752 | Train Loss: 1.4292925596237183 | Test Accuracy: 0.241799995303154 | Test Loss: 2.5896546840667725 |
| i: 14400 | Train Accuracy: 0.4742000102996826 | Train Loss: 1.4160127639770508 | Test Accuracy: 0.2409999966621399 | Test Loss: 2.59126877784729 |
| i: 14500 | Train Accuracy: 0.46959999203681946 | Train Loss: 1.4376612901687622 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.600339651107788 |
| i: 14600 | Train Accuracy: 0.46799999475479126 | Train Loss: 1.4215329885482788 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.6023199558258057 |
| i: 14700 | Train Accuracy: 0.45660001039505005 | Train Loss: 1.4500263929367065 | Test Accuracy: 0.23919999599456787 | Test Loss: 2.6043899059295654 |
| i: 14800 | Train Accuracy: 0.4724000096321106 | Train Loss: 1.418288230895996 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.5977184772491455 |
| i: 14900 | Train Accuracy: 0.4684000015258789 | Train Loss: 1.4256443977355957 | Test Accuracy: 0.2393999993801117 | Test Loss: 2.6030733585357666 |
| i: 15000 | Train Accuracy: 0.4641999900341034 | Train Loss: 1.4294415712356567 | Test Accuracy: 0.24240000545978546 | Test Loss: 2.6052052974700928 |
| i: 15100 | Train Accuracy: 0.44620001316070557 | Train Loss: 1.4451713562011719 | Test Accuracy: 0.241799995303154 | Test Loss: 2.6085288524627686 |
| i: 15200 | Train Accuracy: 0.47540000081062317 | Train Loss: 1.4169836044311523 | Test Accuracy: 0.23499999940395355 | Test Loss: 2.602152109146118 |
| i: 15300 | Train Accuracy: 0.46459999680519104 | Train Loss: 1.4277985095977783 | Test Accuracy: 0.24320000410079956 | Test Loss: 2.606440544128418 |
| i: 15400 | Train Accuracy: 0.46459999680519104 | Train Loss: 1.420678734779358 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.608736038208008 |
| i: 15500 | Train Accuracy: 0.47200000286102295 | Train Loss: 1.4119136333465576 | Test Accuracy: 0.2443999946117401 | Test Loss: 2.608517646789551 |
| i: 15600 | Train Accuracy: 0.4602000117301941 | Train Loss: 1.4376614093780518 | Test Accuracy: 0.23919999599456787 | Test Loss: 2.628481864929199 |
| i: 15700 | Train Accuracy: 0.47040000557899475 | Train Loss: 1.416856050491333 | Test Accuracy: 0.24220000207424164 | Test Loss: 2.6208951473236084 |
| i: 15800 | Train Accuracy: 0.46959999203681946 | Train Loss: 1.4197285175323486 | Test Accuracy: 0.2370000034570694 | Test Loss: 2.628566265106201 |
| i: 15900 | Train Accuracy: 0.4740000069141388 | Train Loss: 1.4126508235931396 | Test Accuracy: 0.24279999732971191 | Test Loss: 2.622365713119507 |
| i: 16000 | Train Accuracy: 0.4715999960899353 | Train Loss: 1.4180803298950195 | Test Accuracy: 0.2362000048160553 | Test Loss: 2.6249139308929443 |
| i: 16100 | Train Accuracy: 0.4747999906539917 | Train Loss: 1.414833426475525 | Test Accuracy: 0.2386000007390976 | Test Loss: 2.6164212226867676 |
| i: 16200 | Train Accuracy: 0.4253999888896942 | Train Loss: 1.5362097024917603 | Test Accuracy: 0.22259999811649323 | Test Loss: 2.65862774848938 |
| i: 16300 | Train Accuracy: 0.4659999907016754 | Train Loss: 1.4218831062316895 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.612640142440796 |
| i: 16400 | Train Accuracy: 0.4763999879360199 | Train Loss: 1.4131367206573486 | Test Accuracy: 0.23919999599456787 | Test Loss: 2.6159253120422363 |
| i: 16500 | Train Accuracy: 0.47360000014305115 | Train Loss: 1.4078458547592163 | Test Accuracy: 0.24060000479221344 | Test Loss: 2.618058443069458 |
| i: 16600 | Train Accuracy: 0.4747999906539917 | Train Loss: 1.408258318901062 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.6198668479919434 |
| i: 16700 | Train Accuracy: 0.4790000021457672 | Train Loss: 1.4022655487060547 | Test Accuracy: 0.24320000410079956 | Test Loss: 2.6240193843841553 |
| i: 16800 | Train Accuracy: 0.47940000891685486 | Train Loss: 1.4024078845977783 | Test Accuracy: 0.241799995303154 | Test Loss: 2.6327853202819824 |
| i: 16900 | Train Accuracy: 0.46459999680519104 | Train Loss: 1.422035574913025 | Test Accuracy: 0.23800000548362732 | Test Loss: 2.6521358489990234 |
| i: 17000 | Train Accuracy: 0.46799999475479126 | Train Loss: 1.4144275188446045 | Test Accuracy: 0.24140000343322754 | Test Loss: 2.627169132232666 |
| i: 17100 | Train Accuracy: 0.4733999967575073 | Train Loss: 1.4107586145401 | Test Accuracy: 0.24199999868869781 | Test Loss: 2.63844895362854 |
